Date,US LT (20Y) Corporate Bonds (TR),US LT (20Y) Government Bonds (TR),US Intermediate-term (5Y) Government Bonds (TR),US (30-Day) Treasury Bills,AUSTRALIA Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),GERMANY Standard (Large+Mid Cap),HONG KONG Standard (Large+Mid Cap),JAPAN Standard (Large+Mid Cap),UNITED KINGDOM Standard (Large+Mid Cap),Gold Return,CANADA Standard (Large+Mid Cap),US Large-Cap Stocks (TR),US Small-Cap Stocks (TR)
Apr-78,-0.0023,-0.0005,0.0024,0.0054,0.064,-0.0149,-0.0515,0.0039,-0.0064,-0.0024,-0.0592,0.0187,0.0902,0.0788
May-78,-0.0108,-0.0058,-0.0002,0.0051,0.0487,0.0246,0.0065,0.0182,0.0091,0.0415,0.0778,0.0567,0.0092,0.0820
Jun-78,0.0023,-0.0062,-0.0021,0.0054,-0.003,0.0077,0.0288,0.2161,0.0939,-0.0118,-0.006,-0.0059,-0.0138,-0.0189
Jul-78,0.0101,0.0143,0.0098,0.0056,0.0666,0.0755,0.054,0.0506,0.1042,0.103,0.094,0.0559,0.0583,0.0684
Aug-78,0.0257,0.0218,0.0079,0.0056,0.063,0.0348,0.0435,0.1706,-0.015,0.0273,0.0422,0.0198,0.0301,0.0939
Sep-78,-0.0048,-0.0106,0.0057,0.0062,0.0419,0.041,0.0561,-0.0657,0.0221,0.013,0.0402,0.0354,-0.0032,-0.0032
Oct-78,-0.0205,-0.02,-0.0112,0.0068,-0.0443,0.047,0.1009,0.0489,0.0776,0.0273,0.1175,-0.0454,-0.0872,-0.2427
Nov-78,0.0134,0.0189,0.0092,0.007,-0.052,-0.0876,-0.1149,-0.2847,-0.0923,-0.048,-0.2028,0.058,0.0215,0.0732
Dec-78,-0.0133,-0.013,0.0063,0.0078,0.0621,0.0504,0.0577,-0.0147,0.0486,0.0318,0.1686,0.0283,0.0196,0.0168
Jan-79,0.0184,0.0191,0.0055,0.0077,0.0404,0.0045,-0.016,0.1178,-0.0035,-0.0062,0.0341,0.0233,0.0443,0.1321
Feb-79,-0.0128,-0.0135,-0.0059,0.0073,0.0327,0.0179,-0.0221,-0.0413,-0.0385,0.086,0.0753,0.0238,-0.0321,-0.0282
Mar-79,0.0107,0.0129,0.0112,0.0081,0.0121,0.0641,-0.0216,-0.0034,-0.0356,0.1514,-0.0446,0.101,0.0596,0.1120
Apr-79,-0.0052,-0.0112,0.0033,0.008,-0.0342,0.0134,-0.0173,-0.0041,-0.0311,0.0489,0.0217,0.0277,0.0063,0.0387
May-79,0.0228,0.0261,0.0193,0.0082,0.0307,-0.0504,-0.0513,0.0363,0.0151,-0.0704,0.1194,0.0265,-0.0217,0.0035
Jun-79,0.0269,0.0311,0.0205,0.0081,-0.014,0.0291,0.0076,-0.0453,0.0066,0.0046,0.0106,0.0696,0.0435,0.0472
Jul-79,-0.0031,-0.0085,-0.0011,0.0077,0.0312,0.0148,0.044,0.1164,-0.0029,0.0086,0.0683,-0.0473,0.0134,0.0171
Aug-79,0.0006,-0.0035,-0.0091,0.0077,0.1204,0.03,0.0199,-0.0154,0.0037,0.0249,0.0629,0.1017,0.0577,0.0756
Sep-79,-0.0179,-0.0122,0.0006,0.0083,0.0692,0.0504,0.05,0.2019,0.0189,0.0182,0.2607,0.0649,0.0043,-0.0344
Oct-79,-0.089,-0.0841,-0.0468,0.0087,-0.0142,-0.0901,-0.0833,-0.0095,-0.0776,-0.1039,-0.0384,-0.103,-0.0640,-0.1154
Nov-79,0.0222,0.0311,0.0363,0.0099,-0.027,0.0411,0.0541,0.1314,-0.0401,0.0435,0.0881,0.089,0.0475,0.0858
Dec-79,-0.0108,0.0057,0.0087,0.0095,0.1227,0.0022,-0.0049,0.1728,0.063,-0.0016,0.2318,0.0648,0.0214,0.0588
Jan-80,-0.0645,-0.0741,-0.0135,0.008,0.2068,0.0492,-0.0064,0.0502,0.0198,0.1067,0.2754,0.1462,0.0622,0.0836
Feb-80,-0.0665,-0.0467,-0.0641,0.0089,0.0259,0.0118,0.0049,-0.0043,-0.0391,0.0574,-0.0245,0.1333,-0.0001,-0.0284
Mar-80,-0.0062,-0.0315,0.0143,0.0121,-0.1819,-0.1432,-0.1548,-0.1762,-0.0282,-0.1329,-0.2237,-0.2204,-0.0972,-0.1778
Apr-80,0.1376,0.1523,0.1198,0.0126,0.0699,0.1009,0.115,0.1524,0.0814,0.0804,0.0475,0.034,0.0462,0.0694
May-80,0.056,0.0419,0.049,0.0081,0.1403,0.026,0.0361,0.0329,0.0594,0.0086,0.0338,0.0868,0.0515,0.0750
Jun-80,0.0341,0.0359,-0.0077,0.0061,0.0747,0.0709,0.0392,0.1792,0.0388,0.1259,0.2204,0.0727,0.0316,0.0452
Jul-80,-0.0429,-0.0476,-0.0106,0.0053,-0.0008,0.0145,0.0064,0.1104,-0.0498,0.029,-0.0601,0.0409,0.0696,0.1323
Aug-80,-0.0445,-0.0432,-0.0387,0.0064,0.0575,0.008,-0.0242,0.0642,0.0663,0.0237,0.0277,0.0165,0.0101,0.0604
Sep-80,-0.0237,-0.0262,-0.0038,0.0075,0.0591,0.0158,-0.0088,-0.0165,0.0656,0.0281,0.0562,-0.0063,0.0294,0.0418
Oct-80,-0.0159,-0.0263,-0.0152,0.0095,0.066,0.0346,-0.0735,0.243,0.0241,0.0869,-0.0566,-0.0293,0.0202,0.0333
Nov-80,0.0017,0.01,0.0029,0.0096,-0.0273,-0.0131,0.0057,-0.0453,-0.0323,-0.019,-0.0147,0.04,0.1065,0.0766
Dec-80,0.0248,0.0352,0.0171,0.0131,-0.0088,-0.041,-0.0421,0.0308,0.07,-0.0457,-0.0484,-0.058,-0.0302,-0.0338
Jan-81,-0.013,-0.0115,0.0032,0.0104,-0.1048,-0.0392,-0.0915,0.0446,0.0195,-0.0065,-0.1412,-0.0092,-0.0418,0.0207
Feb-81,-0.0269,-0.0436,-0.0235,0.0107,-0.041,-0.0099,-0.0072,-0.0732,-0.0145,-0.0329,-0.0346,-0.0223,0.0174,0.0094
Mar-81,0.0311,0.0384,0.0263,0.0121,0.1045,0.0188,0.0469,-0.0825,0.0597,0.0132,0.0506,0.0768,0.0400,0.0943
Apr-81,-0.0769,-0.0518,-0.0216,0.0108,-0.0116,-0.0108,-0.0055,0.0347,0.0726,0.0248,-0.0603,-0.0211,-0.0193,0.0657
May-81,0.0595,0.0622,0.0245,0.0115,-0.0081,-0.0806,-0.0759,0.1708,-0.0258,-0.0809,-0.0073,0.0359,0.0026,0.0422
Jun-81,0.0023,-0.0179,0.006,0.0135,-0.0164,-0.0241,0.0361,0.0183,0.0351,-0.0416,-0.1111,0,-0.0063,0.0076
Jul-81,-0.0372,-0.0353,-0.027,0.0124,-0.1113,-0.0287,-0.0256,-0.0607,-0.037,-0.0363,-0.0469,-0.0674,0.0021,-0.0316
